Color,X,Y,Size
Orange,-33.47,-15.63,1
Orange,-30.79,-15.99,1
Orange,-28.28,-18.13,1
Orange,-27.39,-21.89,1
Orange,-27.03,-24.58,1
Orange,-24.17,-27.98,1
Orange,-28.64,-16.88,2
Orange,-27.75,-20.28,2
Orange,-22.56,-29.59,2
Orange,-21.3,-30.66,1
Orange,-19.51,-32.1,1
Orange,-16.29,-32.28,1
Orange,-10.92,-33.35,1
Orange,-7.52,-31.38,1
Orange,-8.06,-27.98,1
Orange,-10.56,-26.01,1
Orange,-13.07,-23.86,2
Orange,-14.86,-21.89,2
Orange,-15.22,-19.92,2
Orange,-18.26,-17.78,3
Orange,-20.59,-14.55,3
Orange,-22.56,-11.87,1
Orange,-24.52,-10.44,1
Orange,-26.14,-8.29,1
Orange,-28.28,-3.63,1
Orange,-28.28,0.66,1
Orange,-27.75,4.24,1
Orange,-27.03,6.57,1
Orange,-25.6,9.97,1
Orange,-24.7,13.91,1
Orange,-23.09,17.49,1
Orange,-20.59,19.46,1
Orange,-18.44,20.17,1
Orange,-16.47,23.4,1
Orange,-14.68,25.54,1
Orange,-11.99,27.69,1
Orange,-8.41,27.69,1
Orange,-4.65,26.26,1
Orange,-0.9,29.3,1
Orange,3.04,30.2,1
Orange,5.37,29.12,1
Orange,7.16,26.98,1
Orange,10.38,27.33,1
Orange,11.1,27.69,1
Orange,15.22,28.95,1
Orange,17.72,27.33,1
Orange,19.69,25.37,1
Orange,20.59,23.75,1
Orange,21.3,20.71,1
Orange,21.48,17.85,1
Orange,25.42,17.49,1
Orange,27.93,14.63,1
Orange,27.57,13.01,1
Orange,26.49,11.22,1
Orange,27.93,8.36,1
Orange,29.36,7.46,1
Orange,31.68,6.75,1
Orange,33.12,4.78,1
Orange,33.65,0.84,1
Orange,33.65,-1.31,1
Orange,32.94,-4.17,1
Orange,30.79,-6.32,1
Orange,29.0,-8.11,1
Orange,29.72,-11.33,1
Orange,30.61,-12.58,1
Orange,31.15,-17.06,1
Orange,30.07,-17.6,1
Orange,28.82,-18.49,1
Orange,26.85,-19.57,1
Orange,25.06,-22.25,1
Orange,22.91,-22.61,1
Red,-17.72,-13.12,1
Red,-19.51,-10.97,1
Red,-20.94,-9.9,1
Red,-22.38,-8.65,1
Red,-23.99,-5.07,1
Red,-24.52,-2.74,1
Red,-25.42,0.13,1
Red,-23.45,5.32,1
Red,-23.81,7.82,1
Red,-20.77,12.12,1
Red,-19.15,13.55,1
Red,-15.57,15.7,1
Red,-14.68,16.77,1
Red,-12.53,19.1,1
Red,-9.31,21.43,1
Red,-5.01,22.68,1
Red,-1.79,22.86,1
Red,2.69,24.65,1
Red,7.88,23.93,1
Red,10.56,23.22,1
Red,13.78,22.68,1
Red,17.36,20.71,1
Red,18.98,17.67,1
Red,22.2,13.01,1
Red,23.81,8.72,1
Red,20.23,14.8,1
Red,26.85,3.35,1
Red,28.82,0.13,1
Red,28.64,-2.02,1
Red,28.1,-5.24,1
Red,27.57,-8.47,1
Red,26.49,-12.58,1
Red,25.06,-15.09,1
Red,22.91,-17.95,1
Red,22.02,-20.1,1
Red,19.69,-21.89,1
Red,16.47,-23.5,1
Red,13.25,-23.15,1
Red,9.67,-23.15,1
Red,7.16,-22.97,1
Red,5.37,-21.89,1
Red,2.51,-21.18,1
Red,1.07,-19.74,1
Red,4.3,-19.39,1
Red,7.88,-18.85,1
Red,10.92,-17.78,1
Red,13.96,-15.99,1
Red,15.93,-13.48,1
Red,15.57,-11.33,1
Red,16.47,-8.29,1
Red,16.65,-6.14,1
Red,15.93,-3.81,1
Red,14.68,-0.77,1
Red,13.25,1.02,1
Red,11.81,2.45,1
Red,10.02,3.17,1
Red,6.27,3.71,1
Red,4.12,3.88,1
Red,1.07,3.71,1
Red,-1.43,3.53,1
Red,-4.83,3.88,1
Red,-6.98,3.35,1
Red,-8.59,2.63,1
Red,-9.67,1.56,1
Red,-11.1,-0.05,1
Red,-12.35,-1.66,1
Red,-13.78,-3.63,1
Red,-13.96,-3.99,1
Red,-14.86,-6.14,1
Red,-16.29,-9.54,1
Red,-16.47,-14.37,1
Red,25.78,5.32,1
Green,-0.18,19.28,1
Green,-1.79,18.38,1
Green,-3.04,17.85,1
Green,-3.58,14.98,1
Green,-3.58,13.01,1
Green,-3.04,11.22,1
Green,-1.97,9.61,1
Green,0.18,8.54,1
Green,2.86,9.43,1
Green,4.65,10.33,1
Green,5.73,11.58,1
Green,6.44,13.01,1
Green,6.27,13.73,1
Green,5.55,15.88,1
Green,4.65,17.67,1
Green,3.04,18.21,1
Green,1.61,18.74,1
Green,17.54,-16.16,1
Green,15.93,-17.42,1
Green,16.11,-19.21,1
Green,17.18,-20.1,1
Green,18.8,-19.21,1
Green,20.41,-18.31,1
Green,19.69,-17.42,1
Green,18.62,-16.88,1
Green,-0.0,15.88,5
Green,1.61,12.48,5
Green,3.4,14.45,5
Green,-0.54,12.66,5
Orange,-13.6,-33.89,5
Green,-15.04,3.88,1
Green,15.93,13.01,1
Green,22.38,-2.74,1
